CustomerID,OrderVolume,CustomerSegment,ZipCode,State,SaleAmount,YearAcquired,EmailSubscr,NewsletterSubscr,WinemakerCallSubscr,Division,Region
1,16,High Roller,33467,FL,44457.05,2008,True,True,True,South Atlantic,South
2,9,High Roller,98683,WA,42201.67,2009,False,True,True,Pacific,West
3,8,High Roller,90247,CA,28393.5,2005,True,True,True,Pacific,West
4,7,Wine Enthusiast,4572,ME,23571.14,2008,True,True,True,New England,Northeast
5,5,Casual Visitor,98042,WA,20631.1,2008,False,False,False,Pacific,West
6,8,Wine Enthusiast,64124,MO,21269.69,2007,True,True,True,West North Central,Midwest
7,7,Luxury Estate,40769,KY,19392.98,2008,False,False,False,East South Central,South
8,5,High Roller,43512,OH,12951.6,2009,False,True,True,East North Central,Midwest
9,4,Casual Visitor,33012,FL,21084.93,2008,False,False,True,South Atlantic,South
10,11,High Roller,98199,WA,17739.8,2009,True,True,True,Pacific,West
11,8,High Roller,43615,OH,14454.5,2008,False,False,False,East North Central,Midwest
12,6,Casual Visitor,98039,WA,21560.22,2008,True,True,True,Pacific,West
13,9,Casual Visitor,22305,VA,19994.1,2010,False,False,False,South Atlantic,South
14,8,High Roller,99352,WA,20882.88,2008,True,True,True,Pacific,West
15,7,High Roller,55912,MN,12476.36,2008,True,True,True,West North Central,Midwest
16,7,High Roller,53024,WI,18031.71,2010,False,False,False,East North Central,Midwest
17,7,Luxury Estate,98119,WA,14803.73,2008,False,False,False,Pacific,West
18,6,Wine Enthusiast,23962,VA,17421.32,2005,True,True,True,South Atlantic,South
19,6,Wine Enthusiast,98119,WA,14416.46,2008,True,True,True,Pacific,West
20,4,High Roller,89138,NV,12125.34,2007,False,True,False,Mountain,West
21,3,Luxury Estate,87020,NM,17882.09,2006,False,False,False,Mountain,West
22,3,High Roller,99302,WA,13726.880000000001,2010,True,True,True,Pacific,West
23,7,Casual Visitor,45215,OH,18111.55,2010,False,False,False,East North Central,Midwest
24,4,Casual Visitor,34741,FL,14331.380000000001,2008,False,False,False,South Atlantic,South
25,4,High Roller,98332,WA,18877.239999999998,2009,True,True,True,Pacific,West
26,5,Wine Enthusiast,47229,IN,14114.23,2008,True,True,True,East North Central,Midwest
27,10,High Roller,85203,AZ,8667.41,2010,True,True,True,Mountain,West
28,9,Luxury Estate,8827,NJ,14664.42,2007,False,False,False,Middle Atlantic,Northeast
29,8,Wine Enthusiast,98004,WA,11637.630000000001,2007,True,True,True,Pacific,West
30,8,High Roller,91606,CA,7734.469999999999,2010,True,True,True,Pacific,West
31,5,Luxury Estate,10128,NY,12528.11,2007,True,True,True,Middle Atlantic,Northeast
32,5,Wine Enthusiast,98498,WA,15168.39,2009,True,True,True,Pacific,West
33,4,High Roller,74804,OK,10578.24,2010,True,True,True,West South Central,South
34,7,Wine Enthusiast,97123,OR,12328.23,2007,False,False,False,Pacific,West
35,4,Wine Enthusiast,19474,PA,14106.259999999998,2010,False,False,False,Middle Atlantic,Northeast
36,3,High Roller,97034,OR,13941.539999999999,2007,True,True,True,Pacific,West
37,5,Casual Visitor,68649,NE,10988.76,2007,True,True,True,West North Central,Midwest
38,7,High Roller,97221,OR,9314.45,2010,True,True,True,Pacific,West
39,8,High Roller,52003,IA,5270.07,2008,True,True,True,West North Central,Midwest
40,6,High Roller,98858,WA,16161.08,2010,True,True,True,Pacific,West
41,4,Wine Enthusiast,3853,NH,11562.25,2005,False,True,False,New England,Northeast
42,5,Luxury Estate,99361,WA,12909.17,2008,False,False,False,Pacific,West
43,7,High Roller,61074,IL,12100.46,2008,True,True,True,East North Central,Midwest
44,8,High Roller,75568,TX,12735.57,2009,False,False,False,West South Central,South
45,4,High Roller,98033,WA,13011.11,2007,False,True,False,Pacific,West
46,9,Casual Visitor,89501,NV,14351.09,2010,False,True,False,Mountain,West
47,6,Casual Visitor,59062,MT,7733.68,2010,False,True,True,Mountain,West
48,4,Luxury Estate,97212,OR,9150.720000000001,2009,False,False,False,Pacific,West
49,6,High Roller,60505,IL,13213.77,2010,True,True,True,East North Central,Midwest
50,6,High Roller,98466,WA,12210.01,2009,True,True,True,Pacific,West
